问题编号,应用场景,问题类别,具体问题,涉及工具,预期轮数,预期轮数,难度等级,数据源,
11,主题投资挖掘,概念成分深挖,请深入分析远东大开发概念的成分股，哪些公司最受益于这一政策主题？,"tushareMcp_get_kpl_concept_cons, tushareMcp_get_stock_basic_info, tushareMcp_get_income_statement",4--5,4月5日,较难,tushare,
12,连板策略分析,连板股票分析,请分析最近连续涨停的股票，找出连板逻辑和持续性。,"tushareMcp_get_limit_step, tushareMcp_get_kpl_concept_cons, tushareMcp_get_stock_basic_info",3--4,3月4日,较难,tushare,
13,板块轮动分析,强势板块统计,请统计今天涨停股票最多的概念板块，分析哪些板块资金流入最强。,"tushareMcp_get_limit_cpt_list, tushareMcp_get_kpl_concept, tushareMcp_get_kpl_concept_cons",3--4,3月4日,中等,tushare,
14,机构持仓分析,基金持仓透视,请分析当前公募基金重仓的科技股有哪些，这些股票的投资逻辑是什么？,"fund_BatchGetFundsHolding, tushareMcp_get_stock_basic_info, tushareMcp_get_income_statement",4--5,4月5日,中等,tushare,yingmi
15,资讯面分析,财经资讯挖掘,请搜索最近关于"人工智能"、"新能源汽车"的重要财经新闻，分析对相关股票的影响。,"fund_SearchFinancialNews, miraSearchMcp_search_input",2--3,2月3日,简单,yingmi,
16,分红策略分析,基金分红机会,年底哪些基金可能分红？请分析基金分红历史和当前净值情况。,"fund_BatchGetFundsDividendRecord, fund_BatchGetFundNavHistory, fund_GetBatchFundPerformance",3--4,3月4日,简单,yingmi,
17,盘前分析,集合竞价分析,请分析今日个股和ETF的集合竞价成交情况，找出异常波动的品种。,"tushareMcp_get_stk_auction, tushareMcp_get_stock_basic_info",2--3,2月3日,中等,tushare,
18,游资跟踪分析,游资追踪,请分析市场游资的最新动向，哪些股票被游资重点关注？,"tushareMcp_get_hm_list, tushareMcp_get_hm_detail, tushareMcp_get_top_list",3--4,3月4日,较难,tushare,
19,风险管理,基金风险评估,我的风险承受能力偏保守，请帮我评估几只混合型基金的风险等级并推荐合适的配置比例。,"fund_AnalyzeFundRisk, fund_GetAssetAllocationPlan, fund_MonteCarloSimulate",4--5,4月5日,较难,yingmi,
20,综合策略制定,综合投资策略,结合当前市场热点、基金经理观点和技术面分析，为我制定一个完整的投资策略。,"tushareMcp_get_kpl_concept, fund_SearchManagerViewpoint, fund_GetAssetAllocationPlan, miraSearchMcp_search_input",5--6,5月6日,困难,tushare,yingmi
21,多源数据对比,通达信板块分析,请分析通达信板块信息中的热门板块，对比同花顺和东方财富的板块数据差异。,"tushareMcp_get_ths_index, tushareMcp_get_dc_index, tushareMcp_get_ths_member",3--4,3月4日,中等,tushare,
22,技术面分析,A股日线数据挖掘,请分析最近一周A股市场的整体走势，找出强势股和弱势股的特征。,"tushareMcp_get_daily, tushareMcp_get_weekly, tushareMcp_get_monthly",3--4,3月4日,中等,tushare,
23,公告面分析,基金公告解读,请搜索最近的基金重要公告，分析对基金投资价值的影响。,"fund_GetFundAnnouncements, fund_GetAnnouncementContent",2--3,2月3日,简单,yingmi,
24,定投策略规划,交易日历策略,请分析当前交易时间窗口，制定适合的基金定投计划。,"fund_GetTxnDayRange, fund_BatchGetFundTradeRules, fund_GetAssetAllocationPlan",3--4,3月4日,中等,yingmi,
25,基金精选策略,多维度基金筛选,请从业绩、风险、费率、持仓等多个维度帮我筛选出最优质的主动权益基金。,"fund_BatchGetFundsDetail, fund_BatchGetFundsFeeRule, fund_BatchGetFundsHolding, fund_GetBatchFundPerformance",4--5,4月5日,较难,yingmi ,
